DayOfWeek,Avg_Daily_Volume
Monday,260.3924305137307
Tuesday,262.85614321958565
Wednesday,267.7548571265154
Thursday,273.0105156447997
Friday,277.3902681617207
Saturday,278.9513915976564
Sunday,271.1433827997089
