Year,Month_Num,Month,YearMonth,Count,Vehicle_Class
2014,1,January,2014-01,235769.0,Class 5
2014,1,January,2014-01,5578.0,Class 6
2014,1,January,2014-01,9630.0,Class 7
2014,1,January,2014-01,82229.0,Class 8
2014,1,January,2014-01,142934.0,Class 9
2014,2,February,2014-02,6767892.0,Class 1
2014,2,February,2014-02,8911.0,Class 11
2014,2,February,2014-02,190383.0,Class 2
2014,2,February,2014-02,58546.0,Class 3
2014,2,February,2014-02,42014.0,Class 4
2014,2,February,2014-02,209157.0,Class 5
2014,2,February,2014-02,5001.0,Class 6
2014,2,February,2014-02,8632.0,Class 7
2014,2,February,2014-02,74727.0,Class 8
2014,2,February,2014-02,130302.0,Class 9
2014,3,March,2014-03,8500137.0,Class 1
2014,3,March,2014-03,13237.0,Class 11
2014,3,March,2014-03,220403.0,Class 2
2014,3,March,2014-03,69510.0,Class 3
2014,3,March,2014-03,49756.0,Class 4
2014,3,March,2014-03,252286.0,Class 5
2014,3,March,2014-03,5854.0,Class 6
2014,3,March,2014-03,10925.0,Class 7
2014,3,March,2014-03,87874.0,Class 8
2014,3,March,2014-03,152971.0,Class 9
2014,4,April,2014-04,8648553.0,Class 1
2014,4,April,2014-04,19905.0,Class 11
2014,4,April,2014-04,226178.0,Class 2
2014,4,April,2014-04,72607.0,Class 3
2014,4,April,2014-04,53950.0,Class 4
2014,4,April,2014-04,257164.0,Class 5
2014,4,April,2014-04,5787.0,Class 6
2014,4,April,2014-04,11825.0,Class 7
2014,4,April,2014-04,90474.0,Class 8
2014,4,April,2014-04,159246.0,Class 9
2014,5,May,2014-05,9230118.0,Class 1
2014,5,May,2014-05,26070.0,Class 11
2014,5,May,2014-05,235541.0,Class 2
2014,5,May,2014-05,72542.0,Class 3
2014,5,May,2014-05,53712.0,Class 4
2014,5,May,2014-05,262386.0,Class 5
2014,5,May,2014-05,6036.0,Class 6
2014,5,May,2014-05,12873.0,Class 7
2014,5,May,2014-05,95687.0,Class 8
2014,5,May,2014-05,163414.0,Class 9
2014,6,June,2014-06,9055882.0,Class 1
2014,6,June,2014-06,29705.0,Class 11
2014,6,June,2014-06,230564.0,Class 2
2014,6,June,2014-06,68906.0,Class 3
2014,6,June,2014-06,50111.0,Class 4
2014,6,June,2014-06,244176.0,Class 5
2014,6,June,2014-06,5806.0,Class 6
2014,6,June,2014-06,13547.0,Class 7
2014,6,June,2014-06,93632.0,Class 8
2014,6,June,2014-06,160805.0,Class 9
2014,7,July,2014-07,9222385.0,Class 1
2014,7,July,2014-07,28663.0,Class 11
2014,7,July,2014-07,235720.0,Class 2
2014,7,July,2014-07,70718.0,Class 3
2014,7,July,2014-07,50493.0,Class 4
2014,7,July,2014-07,244098.0,Class 5
2014,7,July,2014-07,5146.0,Class 6
2014,7,July,2014-07,13948.0,Class 7
2014,7,July,2014-07,100849.0,Class 8
2014,7,July,2014-07,165317.0,Class 9
2014,8,August,2014-08,9510687.0,Class 1
2014,8,August,2014-08,30246.0,Class 11
2014,8,August,2014-08,230210.0,Class 2
2014,8,August,2014-08,69098.0,Class 3
2014,8,August,2014-08,49355.0,Class 4
2014,8,August,2014-08,231305.0,Class 5
2014,8,August,2014-08,4914.0,Class 6
2014,8,August,2014-08,13959.0,Class 7
2014,8,August,2014-08,99090.0,Class 8
2014,8,August,2014-08,163880.0,Class 9
2014,9,September,2014-09,8725490.0,Class 1
2014,9,September,2014-09,28950.0,Class 11
2014,9,September,2014-09,232249.0,Class 2
2014,9,September,2014-09,70332.0,Class 3
2014,9,September,2014-09,52060.0,Class 4
2014,9,September,2014-09,239665.0,Class 5
2014,9,September,2014-09,5358.0,Class 6
2014,9,September,2014-09,12534.0,Class 7
2014,9,September,2014-09,92037.0,Class 8
2014,9,September,2014-09,155796.0,Class 9
2014,10,October,2014-10,8935227.0,Class 1
2014,10,October,2014-10,22844.0,Class 11
2014,10,October,2014-10,242733.0,Class 2
2014,10,October,2014-10,75185.0,Class 3
2014,10,October,2014-10,56764.0,Class 4
2014,10,October,2014-10,254614.0,Class 5
2014,10,October,2014-10,5796.0,Class 6
2014,10,October,2014-10,12713.0,Class 7
2014,10,October,2014-10,97560.0,Class 8
2014,10,October,2014-10,167963.0,Class 9
2014,11,November,2014-11,8553543.0,Class 1
2014,11,November,2014-11,14662.0,Class 11
2014,11,November,2014-11,211420.0,Class 2
2014,11,November,2014-11,64336.0,Class 3
2014,11,November,2014-11,50266.0,Class 4
2014,11,November,2014-11,224809.0,Class 5
2014,11,November,2014-11,4958.0,Class 6
